"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"03.04.2024","35.740,0","35.040,0","35.740,0","35.000,0","96,80K","2,11%"
"02.04.2024","35.000,0","35.000,0","35.420,0","34.980,0","217,39K","0,00%"
"01.04.2024","35.000,0","34.320,0","35.000,0","34.320,0","398,10K","2,10%"
"27.03.2024","34.280,0","34.380,0","34.920,0","34.260,0","101,62K","0,23%"
"26.03.2024","34.200,0","34.500,0","35.000,0","34.200,0","153,85K","-2,56%"
"22.03.2024","35.100,0","34.640,0","35.100,0","34.200,0","121,18K","1,27%"
"21.03.2024","34.660,0","33.000,0","34.660,0","33.000,0","305,16K","2,54%"
"20.03.2024","33.800,0","33.080,0","33.800,0","33.000,0","589,42K","2,67%"
"19.03.2024","32.920,0","32.880,0","33.480,0","32.880,0","204,70K","0,12%"
"18.03.2024","32.880,0","31.700,0","33.120,0","31.700,0","341,88K","3,72%"
"15.03.2024","31.700,0","31.780,0","34.000,0","31.600,0","13,67M","0,00%"
"14.03.2024","31.700,0","32.140,0","32.200,0","31.700,0","366,11K","-0,31%"
"13.03.2024","31.800,0","32.100,0","32.280,0","31.800,0","219,17K","-0,31%"
"12.03.2024","31.900,0","32.500,0","32.500,0","31.900,0","355,44K","-2,15%"
"11.03.2024","32.600,0","32.720,0","32.740,0","32.380,0","111,33K","-0,55%"
"08.03.2024","32.780,0","33.800,0","33.800,0","32.700,0","134,59K","-2,32%"
"07.03.2024","33.560,0","33.840,0","34.000,0","33.560,0","189,73K","-0,53%"
"06.03.2024","33.740,0","33.420,0","33.920,0","33.420,0","216,58K","1,02%"
"05.03.2024","33.400,0","33.360,0","33.700,0","33.340,0","192,11K","0,60%"
"04.03.2024","33.200,0","33.360,0","33.640,0","33.000,0","221,87K","0,61%"
"01.03.2024","33.000,0","32.860,0","33.400,0","32.860,0","176,65K","0,18%"
"29.02.2024","32.940,0","33.420,0","34.000,0","32.940,0","781,41K","-1,61%"
"28.02.2024","33.480,0","33.480,0","34.540,0","33.480,0","100,06K","0,00%"
"27.02.2024","33.480,0","33.440,0","33.740,0","33.380,0","140,23K","-0,06%"
"26.02.2024","33.500,0","34.000,0","34.320,0","33.500,0","200,64K","-1,35%"
"23.02.2024","33.960,0","32.800,0","33.980,0","32.800,0","356,48K","1,98%"
"22.02.2024","33.300,0","32.460,0","33.300,0","32.400,0","689,69K","3,22%"
"21.02.2024","32.260,0","32.500,0","32.800,0","32.020,0","1,80M","0,19%"
"20.02.2024","32.200,0","31.000,0","32.200,0","31.000,0","737,26K","5,23%"
"19.02.2024","30.600,0","32.820,0","32.820,0","30.600,0","551,39K","-10,00%"
"16.02.2024","34.000,0","33.240,0","34.000,0","33.180,0","24,93K","1,61%"
"15.02.2024","33.460,0","32.860,0","33.460,0","32.700,0","27,29K","2,32%"
"14.02.2024","32.700,0","32.860,0","33.500,0","32.600,0","115,68K","-0,85%"
"13.02.2024","32.980,0","32.900,0","32.980,0","32.540,0","20,81K","0,12%"
"12.02.2024","32.940,0","32.780,0","33.060,0","32.780,0","13,47K","1,04%"
"09.02.2024","32.600,0","33.060,0","33.160,0","32.600,0","112,86K","-1,33%"
"08.02.2024","33.040,0","33.700,0","33.700,0","33.040,0","60,59K","-1,61%"
"07.02.2024","33.580,0","34.000,0","34.000,0","33.580,0","129,12K","-1,18%"
"06.02.2024","33.980,0","34.040,0","34.080,0","33.780,0","156,78K","0,06%"
"05.02.2024","33.960,0","34.160,0","34.320,0","33.900,0","29,27K","-0,70%"
"02.02.2024","34.200,0","33.600,0","34.300,0","33.600,0","46,29K","1,24%"
"01.02.2024","33.780,0","32.920,0","33.980,0","32.880,0","167,76K","3,11%"
"31.01.2024","32.760,0","33.160,0","33.480,0","32.760,0","70,85K","-0,73%"
"30.01.2024","33.000,0","33.120,0","33.240,0","32.920,0","146,32K","-0,30%"
"29.01.2024","33.100,0","33.160,0","33.200,0","32.780,0","87,25K","-0,18%"
"26.01.2024","33.160,0","32.860,0","33.200,0","32.860,0","53,35K","1,66%"
"25.01.2024","32.620,0","33.160,0","33.160,0","32.600,0","143,34K","-2,86%"
"24.01.2024","33.580,0","32.640,0","33.720,0","32.620,0","140,68K","3,01%"
"23.01.2024","32.600,0","33.000,0","33.220,0","32.600,0","205,95K","-1,15%"
"22.01.2024","32.980,0","33.420,0","33.480,0","32.980,0","120,39K","-1,96%"
"19.01.2024","33.640,0","34.060,0","34.060,0","33.200,0","82,58K","-1,06%"
"18.01.2024","34.000,0","34.820,0","34.820,0","34.000,0","135,65K","-2,86%"
"17.01.2024","35.000,0","34.940,0","35.340,0","34.520,0","247,68K","0,00%"
"16.01.2024","35.000,0","35.100,0","35.320,0","35.000,0","111,91K","-0,17%"
"15.01.2024","35.060,0","34.120,0","35.200,0","34.120,0","11,82K","0,17%"
"12.01.2024","35.000,0","34.400,0","35.000,0","33.680,0","52,88K","1,51%"
"11.01.2024","34.480,0","34.500,0","34.780,0","34.480,0","56,38K","-0,06%"
"10.01.2024","34.500,0","35.520,0","35.520,0","34.040,0","50,83K","-3,85%"
"09.01.2024","35.880,0","36.240,0","36.240,0","35.880,0","76,74K","-2,76%"
"05.01.2024","36.900,0","36.000,0","36.900,0","35.980,0","80,38K","2,50%"
"04.01.2024","36.000,0","34.000,0","36.000,0","33.940,0","138,85K","6,45%"
"03.01.2024","33.820,0","33.500,0","33.820,0","33.500,0","75,77K","-0,18%"
"02.01.2024","33.880,0","33.160,0","33.880,0","33.160,0","121,44K","2,05%"
"28.12.2023","33.200,0","32.880,0","33.200,0","32.800,0","63,78K","0,91%"
"27.12.2023","32.900,0","32.280,0","32.900,0","32.280,0","127,93K","1,86%"
"26.12.2023","32.300,0","31.900,0","32.300,0","31.860,0","62,79K","0,31%"
"22.12.2023","32.200,0","31.880,0","32.300,0","31.640,0","46,85K","-0,31%"
"21.12.2023","32.300,0","31.800,0","32.300,0","31.540,0","137,91K","1,57%"
"20.12.2023","31.800,0","32.000,0","32.440,0","31.660,0","200,98K","-0,56%"
"19.12.2023","31.980,0","32.500,0","32.500,0","31.860,0","109,82K","-1,60%"
"18.12.2023","32.500,0","31.780,0","32.500,0","31.780,0","79,50K","2,20%"
"15.12.2023","31.800,0","31.900,0","31.920,0","31.200,0","706,20K","-0,31%"
"14.12.2023","31.900,0","32.460,0","32.460,0","31.860,0","221,09K","-0,31%"
"13.12.2023","32.000,0","31.000,0","32.000,0","31.000,0","135,56K","2,43%"
"12.12.2023","31.240,0","31.140,0","31.240,0","30.860,0","25,72K","1,10%"
"11.12.2023","30.900,0","30.740,0","31.500,0","30.740,0","74,02K","-3,38%"
"07.12.2023","31.980,0","30.800,0","31.980,0","30.400,0","121,52K","4,78%"
"06.12.2023","30.520,0","31.900,0","31.900,0","30.520,0","68,93K","-4,03%"
"05.12.2023","31.800,0","32.580,0","32.660,0","31.800,0","100,22K","-2,51%"
"04.12.2023","32.620,0","31.400,0","32.620,0","30.800,0","161,70K","3,89%"
"01.12.2023","31.400,0","31.080,0","31.600,0","31.000,0","62,53K","-1,01%"
"30.11.2023","31.720,0","30.400,0","31.720,0","30.100,0","411,74K","4,96%"
"29.11.2023","30.220,0","30.000,0","30.340,0","30.000,0","129,00K","0,07%"
"28.11.2023","30.200,0","30.200,0","30.500,0","30.200,0","119,31K","0,00%"
"27.11.2023","30.200,0","29.660,0","30.200,0","29.600,0","41,25K","1,89%"
"24.11.2023","29.640,0","29.700,0","29.700,0","29.620,0","6,24K","0,14%"
"23.11.2023","29.600,0","30.220,0","30.220,0","29.600,0","11,17K","-1,99%"
"22.11.2023","30.200,0","30.000,0","30.300,0","29.620,0","91,32K","0,67%"
"21.11.2023","30.000,0","29.800,0","30.280,0","29.600,0","33,99K","0,00%"
"20.11.2023","30.000,0","30.400,0","30.400,0","30.000,0","47,29K","-0,66%"
"17.11.2023","30.200,0","30.180,0","30.400,0","30.100,0","55,76K","0,07%"
"16.11.2023","30.180,0","30.240,0","30.300,0","30.180,0","131,99K","-1,69%"
"15.11.2023","30.700,0","30.700,0","30.700,0","30.400,0","73,79K","0,66%"
"14.11.2023","30.500,0","30.700,0","30.700,0","30.500,0","33,25K","-0,65%"
"10.11.2023","30.700,0","30.500,0","30.880,0","30.360,0","51,28K","-0,32%"
"09.11.2023","30.800,0","30.700,0","31.100,0","30.700,0","108,00K","0,06%"
"08.11.2023","30.780,0","30.680,0","30.780,0","30.460,0","74,22K","-0,23%"
"07.11.2023","30.850,0","29.800,0","30.850,0","29.780,0","315,81K","2,83%"
"03.11.2023","30.000,0","29.320,0","30.000,0","29.320,0","51,98K","3,48%"
"02.11.2023","28.990,0","28.600,0","29.000,0","28.400,0","93,01K","3,31%"
"01.11.2023","28.060,0","29.790,0","29.790,0","28.060,0","91,97K","-4,40%"
"31.10.2023","29.350,0","29.410,0","29.690,0","29.240,0","36,45K","0,00%"
"30.10.2023","29.350,0","29.650,0","29.650,0","29.240,0","28,54K","0,41%"
"27.10.2023","29.230,0","28.670,0","29.340,0","28.670,0","29,73K","2,53%"
"26.10.2023","28.510,0","29.690,0","29.780,0","28.510,0","101,64K","-3,75%"
"25.10.2023","29.620,0","29.600,0","29.950,0","29.600,0","68,62K","0,30%"
"24.10.2023","29.530,0","29.800,0","30.240,0","29.530,0","71,42K","-0,71%"
"23.10.2023","29.740,0","29.900,0","30.300,0","29.340,0","76,16K","-0,54%"
"20.10.2023","29.900,0","31.010,0","31.410,0","29.900,0","166,47K","-3,08%"
"19.10.2023","30.850,0","30.710,0","32.300,0","30.690,0","77,95K","-2,96%"
"18.10.2023","31.790,0","30.350,0","31.790,0","30.110,0","60,47K","4,88%"
"17.10.2023","30.310,0","30.490,0","30.980,0","30.290,0","112,04K","-0,56%"
"13.10.2023","30.480,0","30.800,0","30.800,0","30.390,0","32,75K","0,93%"
"12.10.2023","30.200,0","30.050,0","30.390,0","29.930,0","55,77K","0,00%"
"11.10.2023","30.200,0","30.200,0","30.500,0","30.040,0","95,88K","-3,21%"
"10.10.2023","31.200,0","31.200,0","31.480,0","30.920,0","128,29K","-0,61%"
"09.10.2023","31.390,0","30.000,0","31.390,0","30.000,0","15,88K","4,63%"
"06.10.2023","30.000,0","29.690,0","30.000,0","29.110,0","57,53K","1,69%"
"05.10.2023","29.500,0","30.210,0","30.210,0","29.500,0","58,82K","-3,75%"
"04.10.2023","30.650,0","30.250,0","31.460,0","30.250,0","25,97K","-2,70%"
"03.10.2023","31.500,0","30.800,0","31.750,0","30.800,0","131,85K","1,61%"
"02.10.2023","31.000,0","30.820,0","31.000,0","30.500,0","17,69K","0,62%"
"29.09.2023","30.810,0","31.100,0","31.100,0","30.800,0","270,91K","-1,25%"
"28.09.2023","31.200,0","31.200,0","31.200,0","30.890,0","153,48K","0,65%"
"27.09.2023","31.000,0","31.220,0","31.560,0","31.000,0","167,02K","-3,13%"
"26.09.2023","32.000,0","31.000,0","32.000,0","30.700,0","245,52K","0,00%"
"25.09.2023","32.000,0","32.790,0","32.790,0","31.200,0","73,59K","2,17%"
"22.09.2023","31.320,0","31.330,0","32.320,0","31.320,0","182,16K","-2,13%"
"21.09.2023","32.000,0","32.000,0","32.000,0","31.430,0","571,62K","-2,74%"
"20.09.2023","32.900,0","31.700,0","32.900,0","31.660,0","721,79K","3,39%"
"19.09.2023","31.820,0","31.590,0","32.000,0","31.300,0","112,17K","0,35%"
"18.09.2023","31.710,0","31.560,0","32.000,0","31.410,0","495,94K","-3,88%"
"15.09.2023","32.990,0","30.000,0","32.990,0","29.280,0","2,10M","9,97%"
"14.09.2023","30.000,0","28.800,0","30.190,0","28.620,0","120,48K","0,00%"
"13.09.2023","30.000,0","30.000,0","30.860,0","29.980,0","180,75K","0,00%"
"12.09.2023","30.000,0","28.450,0","30.000,0","28.450,0","80,51K","6,01%"
"11.09.2023","28.300,0","28.310,0","28.450,0","27.440,0","38,75K","0,00%"
"08.09.2023","28.300,0","29.000,0","29.000,0","28.010,0","21,27K","-2,41%"
"07.09.2023","29.000,0","27.790,0","29.400,0","27.710,0","76,98K","6,62%"
"06.09.2023","27.200,0","26.710,0","27.410,0","26.700,0","165,07K","-0,15%"
"05.09.2023","27.240,0","28.600,0","28.600,0","27.240,0","65,84K","-4,42%"
"04.09.2023","28.500,0","28.710,0","28.710,0","28.500,0","4,44K","-0,70%"
"01.09.2023","28.700,0","28.900,0","29.440,0","28.510,0","73,09K","-1,37%"
"31.08.2023","29.100,0","29.100,0","29.390,0","29.000,0","555,98K","-1,36%"
"30.08.2023","29.500,0","29.490,0","29.600,0","29.030,0","124,67K","1,83%"
"29.08.2023","28.970,0","28.600,0","28.970,0","28.400,0","103,72K","2,37%"
"28.08.2023","28.300,0","29.300,0","29.300,0","28.300,0","101,76K","-1,39%"
"25.08.2023","28.700,0","29.150,0","29.400,0","28.700,0","128,03K","-1,71%"
"24.08.2023","29.200,0","29.500,0","29.800,0","29.200,0","195,25K","0,17%"
"23.08.2023","29.150,0","29.030,0","29.720,0","29.020,0","176,50K","0,48%"
"22.08.2023","29.010,0","30.250,0","30.900,0","29.010,0","172,67K","-5,04%"
"18.08.2023","30.550,0","30.890,0","31.300,0","30.550,0","67,51K","-1,26%"
"17.08.2023","30.940,0","31.300,0","31.300,0","30.500,0","118,22K","-0,35%"
"16.08.2023","31.050,0","31.090,0","31.580,0","30.820,0","120,73K","0,81%"
"15.08.2023","30.800,0","31.680,0","31.700,0","30.800,0","20,62K","-3,45%"
"14.08.2023","31.900,0","31.500,0","31.900,0","31.100,0","45,79K","2,57%"
"11.08.2023","31.100,0","31.700,0","32.000,0","31.100,0","68,36K","-1,89%"
"10.08.2023","31.700,0","31.500,0","32.260,0","31.500,0","106,03K","-2,76%"
"09.08.2023","32.600,0","32.860,0","32.860,0","32.320,0","110,52K","-0,76%"
"08.08.2023","32.850,0","33.440,0","33.440,0","32.850,0","72,92K","-1,79%"
"04.08.2023","33.450,0","33.490,0","33.490,0","33.060,0","18,68K","-0,12%"
"03.08.2023","33.490,0","33.600,0","33.600,0","32.800,0","59,47K","2,42%"
"02.08.2023","32.700,0","33.750,0","33.890,0","32.700,0","88,62K","-3,25%"
"01.08.2023","33.800,0","33.470,0","33.800,0","33.470,0","122,56K","1,26%"
"31.07.2023","33.380,0","33.850,0","33.850,0","32.830,0","184,82K","0,24%"
"28.07.2023","33.300,0","32.870,0","33.890,0","32.870,0","27,79K","-0,89%"
"27.07.2023","33.600,0","32.360,0","33.600,0","31.000,0","127,61K","1,82%"
"26.07.2023","33.000,0","32.890,0","33.280,0","32.860,0","129,92K","-1,11%"
"25.07.2023","33.370,0","33.350,0","33.400,0","33.100,0","298,80K","0,82%"
"24.07.2023","33.100,0","33.600,0","33.630,0","32.730,0","146,61K","-1,49%"
"21.07.2023","33.600,0","33.600,0","33.600,0","33.370,0","106,52K","0,00%"
"19.07.2023","33.600,0","33.600,0","34.000,0","33.540,0","234,14K","0,30%"
"18.07.2023","33.500,0","33.300,0","33.880,0","33.300,0","86,19K","0,60%"
"17.07.2023","33.300,0","33.680,0","33.680,0","33.010,0","56,80K","-1,19%"
"14.07.2023","33.700,0","33.300,0","33.700,0","32.800,0","82,83K","1,78%"
"13.07.2023","33.110,0","33.000,0","33.510,0","32.610,0","106,68K","0,33%"
"12.07.2023","33.000,0","31.400,0","33.000,0","31.400,0","89,96K","6,25%"
"11.07.2023","31.060,0","30.860,0","31.380,0","30.860,0","77,63K","0,62%"
"10.07.2023","30.870,0","30.500,0","30.870,0","30.200,0","38,26K","1,55%"
"07.07.2023","30.400,0","30.510,0","30.770,0","30.180,0","237,54K","-0,03%"
"06.07.2023","30.410,0","31.000,0","31.000,0","30.360,0","129,68K","-1,90%"
"05.07.2023","31.000,0","31.490,0","31.790,0","31.000,0","1,64M","-2,08%"
"04.07.2023","31.660,0","31.000,0","31.660,0","30.900,0","25,75K","2,13%"
"30.06.2023","31.000,0","30.470,0","31.010,0","30.320,0","410,57K","1,74%"
"29.06.2023","30.470,0","30.790,0","30.790,0","30.300,0","425,62K","1,84%"
"28.06.2023","29.920,0","30.470,0","30.690,0","29.920,0","61,58K","-1,68%"
"27.06.2023","30.430,0","30.350,0","30.430,0","29.800,0","164,05K","-1,46%"
"26.06.2023","30.880,0","31.700,0","31.700,0","30.880,0","54,30K","-0,52%"
"23.06.2023","31.040,0","30.090,0","31.350,0","30.090,0","37,08K","0,19%"
"22.06.2023","30.980,0","31.000,0","31.890,0","30.630,0","66,55K","-0,39%"
"21.06.2023","31.100,0","31.300,0","31.570,0","31.100,0","45,71K","-1,14%"
"20.06.2023","31.460,0","32.950,0","32.950,0","30.700,0","107,52K","-2,42%"
"16.06.2023","32.240,0","32.400,0","33.250,0","31.550,0","366,50K","-0,52%"
"15.06.2023","32.410,0","32.500,0","32.910,0","32.410,0","124,50K","-1,49%"
"14.06.2023","32.900,0","33.400,0","33.400,0","32.900,0","140,83K","-1,47%"
"13.06.2023","33.390,0","33.190,0","33.680,0","33.000,0","87,65K","0,60%"
"09.06.2023","33.190,0","33.830,0","33.830,0","32.560,0","121,54K","-1,95%"
"08.06.2023","33.850,0","34.940,0","34.940,0","33.690,0","61,15K","-3,29%"
"07.06.2023","35.000,0","33.890,0","35.000,0","33.300,0","406,41K","5,42%"
"06.06.2023","33.200,0","31.700,0","33.700,0","31.700,0","106,49K","5,73%"
"05.06.2023","31.400,0","31.990,0","31.990,0","31.280,0","183,76K","2,61%"
"02.06.2023","30.600,0","29.900,0","30.980,0","29.560,0","226,66K","6,25%"
"01.06.2023","28.800,0","28.000,0","29.480,0","28.000,0","418,48K","3,60%"
"31.05.2023","27.800,0","28.000,0","28.850,0","27.800,0","887,80K","-0,68%"
"30.05.2023","27.990,0","29.300,0","29.300,0","27.990,0","122,73K","-4,73%"
"29.05.2023","29.380,0","29.520,0","29.780,0","29.380,0","534,91K","-0,27%"
"26.05.2023","29.460,0","30.300,0","30.300,0","29.420,0","57,63K","-0,14%"
"25.05.2023","29.500,0","30.980,0","31.000,0","28.580,0","191,24K","-6,23%"
"24.05.2023","31.460,0","31.530,0","31.690,0","31.300,0","60,55K","-0,22%"
"23.05.2023","31.530,0","32.000,0","32.460,0","31.530,0","381,72K","0,00%"
"19.05.2023","31.530,0","32.700,0","33.190,0","31.530,0","119,25K","-3,28%"
"18.05.2023","32.600,0","31.900,0","32.600,0","31.500,0","147,70K","2,19%"
"17.05.2023","31.900,0","32.550,0","32.550,0","31.900,0","176,17K","-0,34%"
"16.05.2023","32.010,0","32.500,0","32.670,0","32.010,0","263,79K","-0,71%"
"15.05.2023","32.240,0","33.820,0","33.820,0","32.240,0","164,26K","-2,89%"
"12.05.2023","33.200,0","33.800,0","34.150,0","33.200,0","365,74K","-1,40%"
"11.05.2023","33.670,0","34.650,0","34.740,0","33.670,0","929,70K","-2,04%"
"10.05.2023","34.370,0","34.650,0","34.650,0","34.370,0","54,39K","-0,66%"
"09.05.2023","34.600,0","34.300,0","34.600,0","34.300,0","30,41K","0,82%"
"08.05.2023","34.320,0","35.000,0","35.000,0","34.120,0","27,69K","-1,94%"
"05.05.2023","35.000,0","35.390,0","35.390,0","34.960,0","172,15K","0,00%"
"04.05.2023","35.000,0","35.430,0","35.530,0","34.610,0","148,95K","0,57%"
"03.05.2023","34.800,0","35.890,0","35.890,0","34.800,0","68,20K","0,00%"
"02.05.2023","34.800,0","35.780,0","35.780,0","34.400,0","65,24K","-3,33%"
"28.04.2023","36.000,0","35.000,0","36.000,0","35.000,0","148,05K","2,53%"
"27.04.2023","35.110,0","36.710,0","36.710,0","35.110,0","38,30K","-5,11%"
"26.04.2023","37.000,0","38.000,0","38.200,0","36.500,0","148,34K","-3,39%"
"25.04.2023","38.300,0","38.500,0","38.500,0","36.700,0","40,86K","-1,03%"
"24.04.2023","38.700,0","38.810,0","38.810,0","38.220,0","80,88K","0,13%"
"21.04.2023","38.650,0","38.520,0","38.840,0","38.140,0","29,93K","-0,59%"
"20.04.2023","38.880,0","38.900,0","39.200,0","38.710,0","117,37K","-0,26%"
"19.04.2023","38.980,0","39.150,0","39.400,0","38.980,0","181,56K","-0,56%"
"18.04.2023","39.200,0","39.800,0","39.800,0","39.150,0","703,04K","-0,78%"
"17.04.2023","39.510,0","38.360,0","39.600,0","38.360,0","223,11K","0,87%"
"14.04.2023","39.170,0","37.400,0","39.170,0","37.400,0","101,29K","4,73%"
"13.04.2023","37.400,0","37.320,0","37.760,0","37.030,0","131,66K","-1,53%"
"12.04.2023","37.980,0","37.200,0","37.980,0","37.200,0","102,03K","2,65%"
"11.04.2023","37.000,0","35.980,0","37.000,0","35.500,0","200,75K","2,83%"
"10.04.2023","35.980,0","35.250,0","35.980,0","35.220,0","103,13K","1,93%"
"05.04.2023","35.300,0","34.900,0","35.300,0","34.090,0","267,76K","1,15%"
"04.04.2023","34.900,0","35.050,0","35.200,0","34.900,0","78,34K","-0,29%"
"03.04.2023","35.000,0","34.980,0","35.200,0","34.600,0","23,86K","0,03%"
"31.03.2023","34.990,0","34.450,0","34.990,0","33.910,0","195,78K","3,83%"
"30.03.2023","33.700,0","33.870,0","33.870,0","33.520,0","35,31K","2,74%"
"29.03.2023","32.800,0","32.910,0","33.000,0","32.560,0","124,72K","1,71%"
"28.03.2023","32.250,0","33.760,0","33.760,0","32.200,0","168,82K","-4,47%"
"27.03.2023","33.760,0","34.000,0","34.410,0","33.750,0","94,28K","-0,71%"
"24.03.2023","34.000,0","32.950,0","34.000,0","32.930,0","39,77K","3,53%"
"23.03.2023","32.840,0","32.920,0","33.210,0","32.200,0","157,87K","-0,18%"
"22.03.2023","32.900,0","33.290,0","33.290,0","32.890,0","94,03K","1,54%"
"21.03.2023","32.400,0","32.590,0","33.450,0","32.010,0","106,34K","3,18%"
"17.03.2023","31.400,0","31.050,0","31.740,0","30.480,0","894,21K","1,26%"
"16.03.2023","31.010,0","31.560,0","32.700,0","31.010,0","253,28K","-1,43%"
"15.03.2023","31.460,0","34.000,0","34.000,0","31.460,0","186,01K","-7,74%"
"14.03.2023","34.100,0","35.100,0","35.500,0","34.100,0","220,38K","-0,03%"
"13.03.2023","34.110,0","35.060,0","35.700,0","34.110,0","120,58K","-6,55%"
"10.03.2023","36.500,0","37.640,0","38.700,0","36.500,0","95,41K","-4,20%"
"09.03.2023","38.100,0","38.500,0","38.500,0","37.730,0","45,77K","-2,31%"
"08.03.2023","39.000,0","38.950,0","39.000,0","38.250,0","86,53K","0,83%"
"07.03.2023","38.680,0","37.900,0","38.950,0","37.900,0","155,39K","2,06%"
"06.03.2023","37.900,0","37.990,0","38.100,0","37.850,0","190,36K","2,05%"
"03.03.2023","37.140,0","37.400,0","38.000,0","36.900,0","175,86K","1,61%"
"02.03.2023","36.550,0","37.450,0","37.450,0","36.550,0","79,19K","0,27%"
"01.03.2023","36.450,0","37.000,0","37.000,0","36.300,0","63,20K","1,53%"
"28.02.2023","35.900,0","37.400,0","37.920,0","35.900,0","1,15M","-4,22%"
"27.02.2023","37.480,0","36.310,0","37.900,0","36.310,0","100,02K","1,30%"
"24.02.2023","37.000,0","38.000,0","38.000,0","36.100,0","45,36K","-0,27%"
"23.02.2023","37.100,0","39.000,0","39.000,0","37.100,0","251,45K","-4,13%"
"22.02.2023","38.700,0","38.800,0","38.940,0","38.500,0","199,82K","-0,26%"
"21.02.2023","38.800,0","37.150,0","39.790,0","37.150,0","57,10K","-1,45%"
"20.02.2023","39.370,0","38.840,0","39.370,0","38.840,0","5,22K","-0,08%"
"17.02.2023","39.400,0","38.420,0","39.400,0","38.420,0","47,36K","0,00%"
"16.02.2023","39.400,0","36.020,0","39.400,0","36.020,0","486,80K","3,68%"
"15.02.2023","38.000,0","38.230,0","38.300,0","36.620,0","199,79K","-0,60%"
"14.02.2023","38.230,0","38.830,0","39.260,0","38.230,0","109,57K","-4,43%"
"13.02.2023","40.000,0","40.500,0","40.670,0","38.700,0","1,79M","-1,23%"
"10.02.2023","40.500,0","41.200,0","41.450,0","40.500,0","31,50K","-2,15%"
"09.02.2023","41.390,0","41.600,0","41.600,0","40.790,0","57,72K","-0,50%"
"08.02.2023","41.600,0","41.820,0","41.900,0","41.270,0","81,98K","-0,48%"
"07.02.2023","41.800,0","41.800,0","41.880,0","41.440,0","220,84K","0,00%"
"06.02.2023","41.800,0","41.810,0","41.860,0","41.650,0","72,13K","0,10%"
"03.02.2023","41.760,0","42.180,0","42.180,0","41.330,0","191,02K","-0,57%"
"02.02.2023","42.000,0","40.710,0","42.000,0","40.710,0","187,77K","0,48%"
"01.02.2023","41.800,0","41.270,0","42.180,0","41.270,0","225,78K","-0,45%"
"31.01.2023","41.990,0","40.800,0","42.200,0","40.800,0","370,55K","0,21%"
"30.01.2023","41.900,0","42.320,0","42.320,0","40.880,0","287,67K","-0,48%"
"27.01.2023","42.100,0","41.920,0","42.500,0","40.730,0","123,73K","0,43%"
"26.01.2023","41.920,0","42.590,0","42.590,0","41.740,0","166,17K","-0,38%"
"25.01.2023","42.080,0","42.410,0","42.410,0","41.880,0","134,07K","0,19%"
"24.01.2023","42.000,0","42.900,0","42.900,0","42.000,0","95,74K","-2,53%"
"23.01.2023","43.090,0","43.490,0","43.490,0","42.910,0","18,86K","-0,92%"
"20.01.2023","43.490,0","42.800,0","43.490,0","42.800,0","68,60K","1,61%"
"19.01.2023","42.800,0","42.980,0","42.980,0","42.700,0","146,93K","-0,42%"
"18.01.2023","42.980,0","43.000,0","43.200,0","42.500,0","115,77K","0,00%"
"17.01.2023","42.980,0","43.000,0","43.090,0","42.700,0","347,67K","-0,05%"
"16.01.2023","43.000,0","43.200,0","43.200,0","42.800,0","40,46K","-1,10%"
"13.01.2023","43.480,0","43.490,0","43.490,0","42.520,0","76,90K","-0,02%"
"12.01.2023","43.490,0","43.990,0","44.000,0","43.170,0","131,40K","-1,16%"
"11.01.2023","44.000,0","43.050,0","44.000,0","42.700,0","162,12K","2,21%"
"10.01.2023","43.050,0","42.940,0","43.830,0","42.010,0","328,74K","2,26%"
"06.01.2023","42.100,0","42.750,0","42.750,0","42.050,0","145,12K","-1,52%"
"05.01.2023","42.750,0","41.500,0","42.790,0","41.500,0","360,54K","1,79%"
"04.01.2023","42.000,0","41.900,0","42.990,0","41.570,0","338,05K","1,45%"
"03.01.2023","41.400,0","41.520,0","41.540,0","41.400,0","62,00K","-0,24%"
"02.01.2023","41.500,0","41.500,0","42.000,0","41.500,0","2,92K","-2,35%"
"29.12.2022","42.500,0","41.400,0","42.500,0","41.010,0","726,18K","2,56%"
"28.12.2022","41.440,0","40.420,0","41.440,0","40.100,0","26,20K","2,55%"
"27.12.2022","40.410,0","40.500,0","40.500,0","40.000,0","227,47K","0,00%"
"26.12.2022","40.410,0","41.000,0","41.100,0","40.410,0","59,66K","-1,68%"
"23.12.2022","41.100,0","40.980,0","41.100,0","40.400,0","110,91K","3,21%"
"22.12.2022","39.820,0","41.490,0","41.490,0","39.820,0","84,98K","-3,11%"
"21.12.2022","41.100,0","41.200,0","41.820,0","41.100,0","328,11K","-0,24%"
"20.12.2022","41.200,0","42.420,0","42.420,0","41.000,0","331,89K","-2,88%"
"19.12.2022","42.420,0","39.700,0","42.420,0","39.700,0","125,07K","1,00%"
"16.12.2022","42.000,0","41.680,0","42.780,0","41.070,0","988,38K","1,45%"
"15.12.2022","41.400,0","40.400,0","41.400,0","40.370,0","59,53K","2,48%"
"14.12.2022","40.400,0","39.870,0","40.490,0","39.650,0","88,61K","0,00%"
"13.12.2022","40.400,0","39.320,0","40.400,0","39.320,0","725,52K","1,00%"
"12.12.2022","40.000,0","40.000,0","40.020,0","39.660,0","106,49K","0,05%"
"09.12.2022","39.980,0","39.070,0","40.000,0","39.070,0","138,96K","1,99%"
"07.12.2022","39.200,0","40.440,0","40.440,0","39.200,0","131,72K","-2,39%"
